,+/-,3P,3P%,3PA,3PAr,AST,BLK,Code,DRB,Day,FG,FG%,FGA,FT,FT%,FTA,FTr,Home,Losses,Month,ORB,PF,PTS,STL,Starters MP,TOV,TS%,Wins,Year,eFG%,Date,Checker,Team,Spread,Line
6162,25,5,0.3125,16,0.07042253521126761,18,4,pholac,35,24,30,0.4225352112676056,71,28,0.7567567567567568,37,0.39436619718309857,1,28,01,8,23,93,7,31.910000000000004,14,0.5327681026581118,14,2013,0.45774647887323944,20130124,20130124pholac,Phoenix, +7,-110
6163,60,12,0.3333333333333333,36,0.1276595744680851,31,6,atlbos,37,25,42,0.44680851063829785,94,27,0.75,36,0.2872340425531915,1,18,01,12,21,123,10,40.120000000000005,12,0.559905316824472,24,2013,0.5106382978723404,20130125,20130125atlbos,Atlanta, -5,-110
6164,72,9,0.45,20,0.10112359550561797,22,8,chigsw,40,25,41,0.4606741573033708,89,12,0.6666666666666666,18,0.1348314606741573,1,16,01,16,28,103,5,35.01,16,0.5313660751134957,25,2013,0.5112359550561798,20130125,20130125chigsw,Chicago, -2,-110
6165,9,7,0.4117647058823529,17,0.0625,33,9,clemil,42,25,59,0.5267857142857143,112,22,0.8148148148148148,27,0.19642857142857142,1,32,01,10,22,147,11,29.720000000000006,20,0.5933161123668066,11,2013,0.5580357142857143,20130125,20130125clemil,Cleveland, +3.5,-110
6166,-30,6,0.3333333333333333,18,0.06593406593406594,20,7,dalsas,37,25,42,0.46153846153846156,91,17,0.9444444444444444,18,0.18681318681318682,1,24,01,10,19,107,8,28.086666666666666,14,0.5408410837040032,18,2013,0.4945054945054945,20130125,20130125dalsas,Dallas, +2.5,-110
6167,90,9,0.42857142857142855,21,0.1125,26,3,laluta,33,25,43,0.5375,80,7,0.5384615384615384,13,0.0875,1,25,01,12,14,102,7,33.33,18,0.5949603359776015,17,2013,0.59375,20130125,20130125laluta,L.A. Lakers, -5,-110
6168,120,4,0.4444444444444444,9,0.044444444444444446,25,3,membrk,30,25,47,0.5222222222222223,90,3,0.375,8,0.03333333333333333,1,14,01,15,21,101,6,28.486666666666668,12,0.5399914456800684,27,2013,0.5444444444444444,20130125,20130125membrk,Memphis, -4.5,-110
6169,118,6,0.3157894736842105,19,0.07407407407407407,24,4,miadet,29,25,46,0.5679012345679012,81,19,0.8260869565217391,23,0.2345679012345679,1,12,01,10,18,117,12,28.523333333333333,12,0.6420105355575065,27,2013,0.6049382716049383,20130125,20130125miadet,Miami, -10,-110
6170,-50,8,0.5333333333333333,15,0.09302325581395349,15,3,sacokc,31,25,36,0.4186046511627907,86,15,0.7142857142857143,21,0.1744186046511628,1,27,01,8,27,95,11,29.23333333333333,18,0.49874002519949606,16,2013,0.46511627906976744,20130125,20130125sacokc,Sacramento, +8.5,-110
6171,61,8,0.47058823529411764,17,0.0963855421686747,30,8,wasmin,29,25,48,0.5783132530120482,83,10,0.5263157894736842,19,0.12048192771084337,1,31,01,6,27,114,8,23.696666666666665,16,0.6239054290718039,9,2013,0.6265060240963856,20130125,20130125wasmin,Washington, -5,-110
6172,140,13,0.41935483870967744,31,0.14606741573033707,34,7,densac,41,26,47,0.5280898876404494,89,14,0.8235294117647058,17,0.15730337078651685,1,18,01,10,21,121,13,26.173333333333336,15,0.6270729684908789,26,2013,0.601123595505618,20130126,20130126densac,Denver, -12,-110
6173,65,12,0.42857142857142855,28,0.13793103448275862,31,3,houbrk,36,26,43,0.4942528735632184,87,21,0.7777777777777778,27,0.2413793103448276,1,22,01,14,18,119,6,32.626666666666665,11,0.6017394822006473,23,2013,0.5632183908045977,20130126,20130126houbrk,Houston, -2.5,-110
6174,35,13,0.43333333333333335,30,0.12871287128712872,24,7,milgsw,36,26,41,0.40594059405940597,101,14,0.7,20,0.13861386138613863,1,19,01,22,15,109,7,33.7,12,0.4963570127504554,22,2013,0.47029702970297027,20130126,20130126milgsw,Milwaukee, -2,-110
6175,85,6,0.3157894736842105,19,0.08,16,5,phinyk,30,26,38,0.5066666666666667,75,15,0.6818181818181818,22,0.2,1,25,01,4,22,97,6,36.13666666666666,11,0.5727444496929617,17,2013,0.5466666666666666,20130126,20130126phinyk,Philadelphia, +2.5,-110
6176,5,11,0.44,25,0.14666666666666667,23,1,porlac,23,26,35,0.4666666666666667,75,20,0.9523809523809523,21,0.26666666666666666,1,20,01,9,19,101,10,37.55,14,0.5994776828110162,22,2013,0.54,20130126,20130126porlac,Portland, -2,-110
6177,45,7,0.2916666666666667,24,0.08433734939759036,20,1,saspho,31,26,41,0.4939759036144578,83,19,0.8260869565217391,23,0.2289156626506024,1,11,01,7,16,108,7,27.1,9,0.5798969072164948,35,2013,0.536144578313253,20130126,20130126saspho,San Antonio, -9,-110
6178,-5,5,0.29411764705882354,17,0.06097560975609756,22,4,torcle,28,26,40,0.4878048780487805,82,13,0.7222222222222222,18,0.15853658536585366,1,27,01,11,23,98,6,31.26666666666667,15,0.5449288256227758,16,2013,0.5182926829268293,20130126,20130126torcle,Toronto, -6,-110
6179,20,3,0.3,10,0.03614457831325301,28,6,utaind,19,26,44,0.5301204819277109,83,23,0.8846153846153846,26,0.27710843373493976,1,20,01,9,18,114,17,30.21333333333333,14,0.6035578144853876,23,2013,0.5481927710843374,20130126,20130126utaind,Utah, -2,-110
6180,65,3,0.3,10,0.0379746835443038,20,2,waschi,33,26,34,0.43037974683544306,79,15,0.7894736842105263,19,0.189873417721519,1,31,01,9,14,86,6,27.756666666666668,9,0.49221611721611724,10,2013,0.44936708860759494,20130126,20130126waschi,Washington, +1.5,-110
6181,10,5,0.25,20,0.056818181818181816,24,8,bosmia,38,27,36,0.4090909090909091,88,23,0.8518518518518519,27,0.26136363636363635,1,23,01,8,20,100,11,33.92,14,0.500600720865038,20,2013,0.4375,20130127,20130127bosmia,Boston, +3.5,-110
6182,75,5,0.45454545454545453,11,0.056818181818181816,26,0,dalpho,32,27,45,0.5113636363636364,88,15,0.8333333333333334,18,0.17045454545454544,1,25,01,12,24,110,8,25.56,13,0.573394495412844,18,2013,0.5397727272727273,20130127,20130127dalpho,Dallas, -7,-110
6183,65,6,0.35294117647058826,17,0.07317073170731707,33,2,lacpor,29,27,42,0.5121951219512195,82,6,0.6666666666666666,9,0.07317073170731707,1,13,01,8,23,96,8,25.256666666666668,12,0.5583992554676594,32,2013,0.5487804878048781,20130127,20130127lacpor,L.A. Clippers, -6.5,-110
